label,kA,kB,k,m,tool,action,sec,rss_mb,result_kmers,bytes,thr_Mkmer_s,bits_per_kmer
k15,4462229,5187574,15,7,sklib,build_A,1.701,24,4462229,30944760,2.623,55.4786
k15,4462229,5187574,15,7,sklib,build_B,1.470,26,5187574,36513032,3.529,56.3085
k15,4462229,5187574,15,7,sklib,inter,0.754,6,3265132,22318984,12.798,54.6844
k15,4462229,5187574,15,7,sklib,inter_size,0.131,5,3265132,0,73.663,0.0000
k15,4462229,5187574,15,7,sklib,union,1.105,7,6384671,45926424,8.733,57.5459
k15,4462229,5187574,15,7,sklib,union_size,0.127,5,6384671,0,75.983,0.0000
k15,4462229,5187574,15,7,sklib,diff,0.310,5,1197097,7732344,31.128,51.6740
k15,4462229,5187574,15,7,sklib,diff_size,0.128,5,1197097,0,75.389,0.0000
k15,4462229,5187574,15,7,kmc,build_A,0.985,74,4462229,19159736,4.530,34.3501
k15,4462229,5187574,15,7,kmc,build_B,1.077,81,5187574,22061116,4.817,34.0215
k15,4462229,5187574,15,7,kmc,inter,0.364,73,3265132,9926552,26.510,24.3213
k15,4462229,5187574,15,7,kmc,union,0.362,80,6384671,19285169,26.657,24.1643
k15,4462229,5187574,15,7,kmc,diff,0.321,67,1197097,3722447,30.062,24.8765
k15,4462229,5187574,15,7,cbl,build_A,1.880,145,4462229,20961852,2.374,37.5810
k15,4462229,5187574,15,7,cbl,build_B,2.136,148,5187574,23537771,2.429,36.2987
k15,4462229,5187574,15,7,cbl,inter,0.582,271,3265132,16501183,16.580,40.4301
k15,4462229,5187574,15,7,cbl,union,0.621,280,6384671,27575350,15.539,34.5519
k15,4462229,5187574,15,7,cbl,diff,0.685,279,1197097,7559921,14.087,50.5217
k21,4543891,5302382,21,11,sklib,build_A,1.499,23,4543891,14157720,3.031,24.9262
k21,4543891,5302382,21,11,sklib,build_B,1.697,25,5302382,16693192,3.125,25.1860
k21,4543891,5302382,21,11,sklib,inter,0.486,5,3064483,9741560,20.260,25.4309
k21,4543891,5302382,21,11,sklib,inter_size,0.102,5,3064483,0,96.532,0.0000
k21,4543891,5302382,21,11,sklib,union,0.978,5,6781790,22046152,10.068,26.0063
k21,4543891,5302382,21,11,sklib,union_size,0.155,5,6781790,0,63.524,0.0000
k21,4543891,5302382,21,11,sklib,diff,0.494,5,1479408,4765384,19.932,25.7691
