label,kA,kB,k,m,tool,action,sec,rss_mb,result_kmers,bytes,thr_Mkmer_s,bits_per_kmer
ecoli_mut1,4543891,4568446,21,11,sklib,build_A,0.938,23,4543891,14157720,4.844,24.9262
ecoli_mut1,4543891,4568446,21,11,sklib,build_B,1.040,23,4568446,14191496,4.393,24.8513
ecoli_mut1,4543891,4568446,21,11,sklib,inter,0.532,5,3678431,11733096,17.128,25.5176
ecoli_mut1,4543891,4568446,21,11,sklib,inter_size,0.073,5,3678431,0,124.827,0.0000
ecoli_mut1,4543891,4568446,21,11,sklib,union,0.790,6,5433906,17396856,11.535,25.6123
ecoli_mut1,4543891,4568446,21,11,sklib,union_size,0.078,5,5433906,0,116.825,0.0000
ecoli_mut1,4543891,4568446,21,11,sklib,diff,0.181,5,865460,2974504,50.344,27.4952
ecoli_mut1,4543891,4568446,21,11,sklib,diff_size,0.078,5,865460,0,116.825,0.0000
ecoli_mut1,4543891,4568446,21,11,kmc,build_A,0.512,70,4543891,27962435,8.875,49.2308
ecoli_mut1,4543891,4568446,21,11,kmc,build_B,0.497,70,4568446,28085210,9.192,49.1812
ecoli_mut1,4543891,4568446,21,11,kmc,inter,0.352,93,3678431,16810960,25.887,36.5612
ecoli_mut1,4543891,4568446,21,11,kmc,union,0.353,95,5433906,23832860,25.814,35.0876
ecoli_mut1,4543891,4568446,21,11,kmc,diff,0.324,83,865460,5559076,28.124,51.3861
ecoli_mut1,4543891,4568446,21,11,cbl,build_A,1.059,140,4543891,24663917,4.291,43.4234
ecoli_mut1,4543891,4568446,21,11,cbl,build_B,1.048,140,4568446,24835694,4.359,43.4908
ecoli_mut1,4543891,4568446,21,11,cbl,inter,0.512,256,3678431,20671696,17.798,44.9576
ecoli_mut1,4543891,4568446,21,11,cbl,union,0.537,265,5433906,28668592,16.969,42.2070
ecoli_mut1,4543891,4568446,21,11,cbl,diff,0.646,266,865460,5932318,14.106,54.8362
yeast_mut1,11505228,11656774,21,11,sklib,build_A,2.635,20,11505228,39455784,4.366,27.4350
yeast_mut1,11505228,11656774,21,11,sklib,build_B,2.747,20,11656774,39929768,4.243,27.4036
yeast_mut1,11505228,11656774,21,11,sklib,inter,1.450,6,9347201,32492408,15.974,27.8093
yeast_mut1,11505228,11656774,21,11,sklib,inter_size,0.214,5,9347201,0,108.234,0.0000
yeast_mut1,11505228,11656774,21,11,sklib,union,2.126,6,13814801,48727160,10.895,28.2174
yeast_mut1,11505228,11656774,21,11,sklib,union_size,0.212,5,13814801,0,109.255,0.0000
yeast_mut1,11505228,11656774,21,11,sklib,diff,0.502,5,2158027,7632680,46.139,28.2950
yeast_mut1,11505228,11656774,21,11,sklib,diff_size,0.212,5,2158027,0,109.255,0.0000
yeast_mut1,11505228,11656774,21,11,kmc,build_A,1.011,128,11505228,62769120,11.380,43.6456
yeast_mut1,11505228,11656774,21,11,kmc,build_B,1.034,128,11656774,63526850,11.273,43.5982
yeast_mut1,11505228,11656774,21,11,kmc,inter,0.834,162,9347201,39486040,27.772,33.7950
yeast_mut1,11505228,11656774,21,11,kmc,union,0.861,167,13814801,57356440,26.901,33.2145
yeast_mut1,11505228,11656774,21,11,kmc,diff,0.762,155,2158027,10729344,30.396,39.7746
yeast_mut1,11505228,11656774,21,11,cbl,build_A,2.755,170,11505228,53740773,4.176,37.3679
yeast_mut1,11505228,11656774,21,11,cbl,build_B,2.758,170,11656774,54405845,4.227,37.3385
yeast_mut1,11505228,11656774,21,11,cbl,inter,1.100,309,9347201,44746490,21.056,38.2972
yeast_mut1,11505228,11656774,21,11,cbl,union,1.147,338,13814801,63273737,20.194,36.6411
yeast_mut1,11505228,11656774,21,11,cbl,diff,1.293,320,2158027,12740715,17.913,47.2310
chr21_mut1,32720485,33968622,21,11,sklib,build_A,9.053,55,32720485,130129528,3.614,31.8160
chr21_mut1,32720485,33968622,21,11,sklib,build_B,9.232,55,33968622,135058824,3.679,31.8079
chr21_mut1,32720485,33968622,21,11,sklib,inter,4.614,8,26829637,107169896,14.454,31.9557
chr21_mut1,32720485,33968622,21,11,sklib,inter_size,0.701,5,26829637,0,95.134,0.0000
chr21_mut1,32720485,33968622,21,11,sklib,union,6.838,10,39859470,162609928,9.753,32.6366
chr21_mut1,32720485,33968622,21,11,sklib,union_size,0.704,5,39859470,0,94.729,0.0000
chr21_mut1,32720485,33968622,21,11,sklib,diff,1.520,6,5890848,22917368,43.874,31.1227
chr21_mut1,32720485,33968622,21,11,sklib,diff_size,0.695,5,5890848,0,95.956,0.0000
chr21_mut1,32720485,33968622,21,11,kmc,build_A,2.736,333,32720485,168845405,11.959,41.2819
chr21_mut1,32720485,33968622,21,11,kmc,build_B,2.696,337,33968622,175086090,12.600,41.2348
chr21_mut1,32720485,33968622,21,11,kmc,inter,2.269,402,26829637,109415784,29.391,32.6253
chr21_mut1,32720485,33968622,21,11,kmc,union,2.356,402,39859470,161535116,28.306,32.4209
chr21_mut1,32720485,33968622,21,11,kmc,diff,2.104,369,5890848,25660628,31.696,34.8481
chr21_mut1,32720485,33968622,21,11,cbl,build_A,9.467,302,32720485,140008179,3.456,34.2313
chr21_mut1,32720485,33968622,21,11,cbl,build_B,9.263,308,33968622,145073904,3.667,34.1666
chr21_mut1,32720485,33968622,21,11,cbl,inter,2.972,472,26829637,116331001,22.439,34.6873
chr21_mut1,32720485,33968622,21,11,cbl,union,3.090,568,39859470,168679197,21.582,33.8548
chr21_mut1,32720485,33968622,21,11,cbl,diff,3.313,484,5890848,30258000,20.130,41.0915
chr20_mut1,53905776,55142777,21,11,sklib,build_A,14.724,74,53905776,226123688,3.661,33.5584
chr20_mut1,53905776,55142777,21,11,sklib,build_B,14.662,74,55142777,230855352,3.761,33.4920
chr20_mut1,53905776,55142777,21,11,sklib,inter,7.6495,11,43945050,184755640,14.256,33.6339
chr20_mut1,53905776,55142777,21,11,sklib,inter_size,1.159,6,43945050,0,94.088,0.0000
chr20_mut1,53905776,55142777,21,11,sklib,union,11.263,15,65103503,279667496,9.682,34.3659
chr20_mut1,53905776,55142777,21,11,sklib,union_size,1.166,6,65103503,0,93.524,0.0000
chr20_mut1,53905776,55142777,21,11,sklib,diff,2.5515,7,9960726,40144696,42.739,32.2424
chr20_mut1,53905776,55142777,21,11,sklib,diff_size,1.164,6,9960726,0,93.684,0.0000
chr20_mut1,53905776,55142777,21,11,kmc,build_A,4.114,522,53905776,274771860,13.103,40.7781
chr20_mut1,53905776,55142777,21,11,kmc,build_B,4.147,526,55142777,280956865,13.297,40.7606
chr20_mut1,53905776,55142777,21,11,kmc,inter,3.599,604,43945050,177877436,30.300,32.3818
chr20_mut1,53905776,55142777,21,11,kmc,union,3.726,604,65103503,262511248,29.267,32.2577
chr20_mut1,53905776,55142777,21,11,kmc,diff,3.339,571,9960726,41940140,32.659,33.6844
chr20_mut1,53905776,55142777,21,11,cbl,build_A,16.196,415,53905776,224830974,3.328,33.3665
chr20_mut1,53905776,55142777,21,11,cbl,build_B,16.414,421,55142777,229797093,3.359,33.3385
chr20_mut1,53905776,55142777,21,11,cbl,inter,4.783,625,43945050,185019229,22.799,33.6819
chr20_mut1,53905776,55142777,21,11,cbl,union,4.934,787,65103503,269575511,22.101,33.1258
chr20_mut1,53905776,55142777,21,11,cbl,diff,5.2185,637,9960726,47977171,20.897,38.5331
celegans_mut1,91222416,93143755,21,11,sklib,build_A,23.997,64,91222416,418760008,3.801,36.7243
celegans_mut1,91222416,93143755,21,11,sklib,build_B,23.933,72,93143755,426902072,3.892,36.6661
celegans_mut1,91222416,93143755,21,11,sklib,inter,13.7105,18,74434709,341710968,13.447,36.7260
celegans_mut1,91222416,93143755,21,11,sklib,inter_size,1.9885,8,74434709,0,92.716,0.0000
celegans_mut1,91222416,93143755,21,11,sklib,union,19.8135,24,109931462,515943848,9.305,37.5466
celegans_mut1,91222416,93143755,21,11,sklib,union_size,1.9935,8,109931462,0,92.484,0.0000
