label,kA,kB,k,m,tool,action,sec,rss_mb,result_kmers,bytes,thr_Mkmer_s,bits_per_kmer
ecoliK12_Sakai,4543891,5302382,21,11,sklib,build_A,0.995,19,4543891,14157720,4.567,24.9262
ecoliK12_Sakai,4543891,5302382,21,11,sklib,build_B,1.353,20,5302382,16693192,3.919,25.1860
ecoliK12_Sakai,4543891,5302382,21,11,sklib,inter,0.330,5,3064483,9741560,29.837,25.4309
ecoliK12_Sakai,4543891,5302382,21,11,sklib,inter_size,0.082,5,3064483,0,120.076,0.0000
ecoliK12_Sakai,4543891,5302382,21,11,sklib,union,0.641,6,6781790,22046152,15.361,26.0063
ecoliK12_Sakai,4543891,5302382,21,11,sklib,union_size,0.079,5,6781790,0,124.636,0.0000
ecoliK12_Sakai,4543891,5302382,21,11,sklib,diff,0.185,5,1479408,4765384,53.223,25.7691
ecoliK12_Sakai,4543891,5302382,21,11,sklib,diff_size,0.082,5,1479408,0,120.076,0.0000
ecoliK12_Sakai,4543891,5302382,21,11,kmc,build_A,0.488,70,4543891,27962435,9.311,49.2308
ecoliK12_Sakai,4543891,5302382,21,11,kmc,build_B,0.553,77,5302382,31754890,9.588,47.9104
ecoliK12_Sakai,4543891,5302382,21,11,kmc,inter,0.386,95,3064483,14355168,25.508,37.4749
ecoliK12_Sakai,4543891,5302382,21,11,kmc,union,0.412,98,6781790,29224396,23.899,34.4740
ecoliK12_Sakai,4543891,5302382,21,11,kmc,diff,0.371,88,1479408,8014868,26.540,43.3409
ecoliK12_Sakai,4543891,5302382,21,11,cbl,build_A,1.028,140,4543891,24663917,4.420,43.4234
ecoliK12_Sakai,4543891,5302382,21,11,cbl,build_B,1.189,145,5302382,28119794,4.460,42.4259
ecoliK12_Sakai,4543891,5302382,21,11,cbl,inter,0.581,262,3064483,17694680,16.947,46.1929
ecoliK12_Sakai,4543891,5302382,21,11,cbl,union,0.642,277,6781790,34568128,15.337,40.7776
ecoliK12_Sakai,4543891,5302382,21,11,cbl,diff,0.663,269,1479408,9529241,14.851,51.5300
ecoliK12_UTI89,4543891,5097115,21,11,sklib,build_A,1.020,19,4543891,14157720,4.455,24.9262
ecoliK12_UTI89,4543891,5097115,21,11,sklib,build_B,1.211,20,5097115,16001256,4.209,25.1142
ecoliK12_UTI89,4543891,5097115,21,11,sklib,inter,0.285,5,2460500,7960376,33.828,25.8821
ecoliK12_UTI89,4543891,5097115,21,11,sklib,inter_size,0.120,5,2460500,0,80.342,0.0000
ecoliK12_UTI89,4543891,5097115,21,11,sklib,union,0.686,6,7180506,23521320,14.054,26.2058
ecoliK12_UTI89,4543891,5097115,21,11,sklib,union_size,0.083,5,7180506,0,116.157,0.0000
ecoliK12_UTI89,4543891,5097115,21,11,sklib,diff,0.238,5,2083391,6739800,40.508,25.8801
ecoliK12_UTI89,4543891,5097115,21,11,sklib,diff_size,0.084,5,2083391,0,114.774,0.0000
ecoliK12_UTI89,4543891,5097115,21,11,kmc,build_A,0.494,70,4543891,27962435,9.198,49.2308
ecoliK12_UTI89,4543891,5097115,21,11,kmc,build_B,0.548,74,5097115,30728555,9.301,48.2289
ecoliK12_UTI89,4543891,5097115,21,11,kmc,inter,0.372,91,2460500,11939236,25.917,38.8189
ecoliK12_UTI89,4543891,5097115,21,11,kmc,union,0.414,97,7180506,30819260,23.287,34.3366
ecoliK12_UTI89,4543891,5097115,21,11,kmc,diff,0.367,90,2083391,10430800,26.270,40.0532
ecoliK12_UTI89,4543891,5097115,21,11,cbl,build_A,1.033,140,4543891,24663917,4.399,43.4234
ecoliK12_UTI89,4543891,5097115,21,11,cbl,build_B,1.124,144,5097115,27201544,4.535,42.6932
ecoliK12_UTI89,4543891,5097115,21,11,cbl,inter,0.610,263,2460500,14684258,15.805,47.7440
ecoliK12_UTI89,4543891,5097115,21,11,cbl,union,0.646,277,7180506,36278667,14.924,40.4191
ecoliK12_UTI89,4543891,5097115,21,11,cbl,diff,0.636,268,2083391,12816504,15.159,49.2140
ecoliSakai_IAI39,5302382,4899323,21,11,sklib,build_A,1.213,20,5302382,16693192,4.371,25.1860
ecoliSakai_IAI39,5302382,4899323,21,11,sklib,build_B,1.219,19,4899323,15339576,4.019,25.0477
ecoliSakai_IAI39,5302382,4899323,21,11,sklib,inter,0.314,5,2671981,8622760,32.490,25.8168
ecoliSakai_IAI39,5302382,4899323,21,11,sklib,inter_size,0.089,5,2671981,0,114.626,0.0000
ecoliSakai_IAI39,5302382,4899323,21,11,sklib,union,0.712,6,7529724,24736952,14.328,26.2819
ecoliSakai_IAI39,5302382,4899323,21,11,sklib,union_size,0.086,5,7529724,0,118.624,0.0000
ecoliSakai_IAI39,5302382,4899323,21,11,sklib,diff,0.296,5,2630401,8433576,34.465,25.6496
ecoliSakai_IAI39,5302382,4899323,21,11,sklib,diff_size,0.087,5,2630401,0,117.261,0.0000
ecoliSakai_IAI39,5302382,4899323,21,11,kmc,build_A,0.615,77,5302382,31754890,8.622,47.9104
ecoliSakai_IAI39,5302382,4899323,21,11,kmc,build_B,0.535,74,4899323,29739595,9.158,48.5612
ecoliSakai_IAI39,5302382,4899323,21,11,kmc,inter,0.393,95,2671981,12785160,25.959,38.2792
ecoliSakai_IAI39,5302382,4899323,21,11,kmc,union,0.435,100,7529724,32216132,23.452,34.2282
ecoliSakai_IAI39,5302382,4899323,21,11,kmc,diff,0.390,95,2630401,12618840,26.158,38.3785
ecoliSakai_IAI39,5302382,4899323,21,11,cbl,build_A,1.192,145,5302382,28119794,4.448,42.4259
ecoliSakai_IAI39,5302382,4899323,21,11,cbl,build_B,1.089,142,4899323,26291450,4.499,42.9307
ecoliSakai_IAI39,5302382,4899323,21,11,cbl,inter,0.631,267,2671981,15763916,16.168,47.1977
ecoliSakai_IAI39,5302382,4899323,21,11,cbl,union,0.651,279,7529724,37786513,15.671,40.1465
ecoliSakai_IAI39,5302382,4899323,21,11,cbl,diff,0.646,269,2630401,15632017,15.792,47.5426
chr21_chr22,32720485,30738298,21,11,sklib,build_A,8.995,45,32720485,130129528,3.638,31.8160
chr21_chr22,32720485,30738298,21,11,sklib,build_B,8.845,49,30738298,120456888,3.475,31.3503
chr21_chr22,32720485,30738298,21,11,sklib,inter,0.809,7,1552757,6573944,78.441,33.8698
chr21_chr22,32720485,30738298,21,11,sklib,inter_size,0.62,6,1552757,0,102.353,0.0000
chr21_chr22,32720485,30738298,21,11,sklib,union,6.4825,16,61906026,263871528,9.789,34.0996
chr21_chr22,32720485,30738298,21,11,sklib,union_size,0.6145,6,61906026,0,103.269,0.0000
chr21_chr22,32720485,30738298,21,11,sklib,diff,3.4275,11,31167728,124436888,18.515,31.9399
chr21_chr22,32720485,30738298,21,11,sklib,diff_size,0.611,6,31167728,0,103.861,0.0000
chr21_chr22,32720485,30738298,21,11,kmc,build_A,2.658,334,32720485,168845405,12.310,41.2819
chr21_chr22,32720485,30738298,21,11,kmc,build_B,2.545,328,30738298,158934470,12.078,41.3645
chr21_chr22,32720485,30738298,21,11,kmc,inter,2.0415,345,1552757,8308264,31.084,42.8052
chr21_chr22,32720485,30738298,21,11,kmc,union,2.442,387,61906026,249721340,25.986,32.2710
chr21_chr22,32720485,30738298,21,11,kmc,diff,2.2135,387,31167728,126768148,28.669,32.5383
chr21_chr22,32720485,30738298,21,11,cbl,build_A,9.175,302,32720485,140008179,3.566,34.2313
