pair,k,stage,op,tool,threads,sec,rss_mb,result_kmers
ecoliK12_Sakai,21,build,A,sklib,22,0.412,19,NA
ecoliK12_Sakai,21,build,B,sklib,22,0.468,20,NA
ecoliK12_Sakai,21,setop,inter,sklib,1,0.316,5,3064483
ecoliK12_Sakai,21,setop,union,sklib,1,0.661,6,6781790
ecoliK12_Sakai,21,setop,diff,sklib,1,0.197,6,1479408
ecoliK12_Sakai,21,setop,inter_size,sklib,1,0.079,5,3064483
ecoliK12_Sakai,21,setop,union_size,sklib,1,0.080,5,6781790
ecoliK12_Sakai,21,setop,diff_size,sklib,1,0.080,5,1479408
ecoliK12_Sakai,21,setop,inter,sklib,4,0.100,7,3064483
ecoliK12_Sakai,21,setop,union,sklib,4,0.195,9,6781790
ecoliK12_Sakai,21,setop,diff,sklib,4,0.071,6,1479408
ecoliK12_Sakai,21,setop,inter_size,sklib,4,0.033,6,3064483
ecoliK12_Sakai,21,setop,union_size,sklib,4,0.030,6,6781790
ecoliK12_Sakai,21,setop,diff_size,sklib,4,0.031,6,1479408
ecoliK12_Sakai,21,setop,inter,sklib,8,0.065,10,3064483
ecoliK12_Sakai,21,setop,union,sklib,8,0.119,13,6781790
ecoliK12_Sakai,21,setop,diff,sklib,8,0.040,8,1479408
ecoliK12_Sakai,21,setop,inter_size,sklib,8,0.022,7,3064483
ecoliK12_Sakai,21,setop,union_size,sklib,8,0.021,6,6781790
ecoliK12_Sakai,21,setop,diff_size,sklib,8,0.020,7,1479408
ecoliK12_Sakai,21,setop,inter,sklib,22,0.051,17,3064483
ecoliK12_Sakai,21,setop,union,sklib,22,0.086,26,6781790
ecoliK12_Sakai,21,setop,diff,sklib,22,0.031,13,1479408
ecoliK12_Sakai,21,setop,inter_size,sklib,22,0.013,9,3064483
ecoliK12_Sakai,21,setop,union_size,sklib,22,0.013,9,6781790
ecoliK12_Sakai,21,setop,diff_size,sklib,22,0.014,9,1479408
ecoliK12_Sakai,21,build,A,kmc,1,0.490,70,NA
ecoliK12_Sakai,21,build,B,kmc,1,0.552,77,NA
ecoliK12_Sakai,21,setop,inter,kmc,1,0.222,94,3064483
ecoliK12_Sakai,21,setop,union,kmc,1,0.215,98,6781790
ecoliK12_Sakai,21,setop,diff,kmc,1,0.216,88,1479408
ecoliK12_Sakai,21,build,A,kmc,22,0.320,72,NA
ecoliK12_Sakai,21,build,B,kmc,22,0.322,79,NA
ecoliK12_Sakai,21,setop,inter,kmc,22,0.270,388,3064483
ecoliK12_Sakai,21,setop,union,kmc,22,0.286,396,6781790
ecoliK12_Sakai,21,setop,diff,kmc,22,0.265,383,1479408
ecoliK12_Sakai,21,build,A,fmsi,1,2.465,82,NA
ecoliK12_Sakai,21,build,B,fmsi,1,2.906,95,NA
ecoliK12_Sakai,21,setop,inter,fmsi,1,10.351,481,3064483
ecoliK12_Sakai,21,setop,union,fmsi,1,16.681,577,6781790
ecoliK12_Sakai,21,setop,diff,fmsi,1,26.451,568,1479408
ecoliK12_UTI89,21,build,A,sklib,22,0.426,19,NA
ecoliK12_UTI89,21,build,B,sklib,22,0.481,20,NA
ecoliK12_UTI89,21,setop,inter,sklib,1,0.286,5,2460500
ecoliK12_UTI89,21,setop,union,sklib,1,0.735,6,7180506
ecoliK12_UTI89,21,setop,diff,sklib,1,0.254,5,2083391
ecoliK12_UTI89,21,setop,inter_size,sklib,1,0.087,5,2460500
ecoliK12_UTI89,21,setop,union_size,sklib,1,0.090,5,7180506
ecoliK12_UTI89,21,setop,diff_size,sklib,1,0.088,5,2083391
ecoliK12_UTI89,21,setop,inter,sklib,4,0.091,7,2460500
ecoliK12_UTI89,21,setop,union,sklib,4,0.220,9,7180506
ecoliK12_UTI89,21,setop,diff,sklib,4,0.084,7,2083391
ecoliK12_UTI89,21,setop,inter_size,sklib,4,0.034,6,2460500
ecoliK12_UTI89,21,setop,union_size,sklib,4,0.032,6,7180506
ecoliK12_UTI89,21,setop,diff_size,sklib,4,0.033,6,2083391
ecoliK12_UTI89,21,setop,inter,sklib,8,0.056,9,2460500
ecoliK12_UTI89,21,setop,union,sklib,8,0.135,14,7180506
ecoliK12_UTI89,21,setop,diff,sklib,8,0.054,8,2083391
ecoliK12_UTI89,21,setop,inter_size,sklib,8,0.021,6,2460500
